"ロボットコード","回","キャンパスコード","A/B","ロボット名","フリガナ"
"103775301","3","7530","","Lizard","リザード"
"103775401","3","7540","","PUSHスエヒロ","プッシュスエヒロ"
"103885501","3","8550","","スター号","スターゴウ"
"103885601","3","8560","","スットンノビノビ号","スットンノビノビゴウ"
"103885701","3","8570","","おっしゃあくん","オッシャアクン"
"103885801","3","8580","","やどかり形玉乗のりマシン","ヤドカリガタタマノリマシン"
"103885901","3","8590","","たまころがし号","タマコロガシゴウ"
"103886001","3","8600","","The Spirit of DENPA","ザスピリットオブデンパ"
"103886101","3","8610","","ビッグモッコス","ビッグモッコス"
"103886201","3","8620","","ブリリアント霧島号","ブリリアントキリシマゴウ"
"103886301","3","8630","","なぼ 倫’９０","ヨミカタガワカリマセン"
"104110101","4","1010","B","Fly Swatter","フライスワッター"
"104110102","4","1010","A","セブンボンバー","セブンボンバー"
"104110201","4","1020","","Kushi-Robot","クシロボット"
"104110202","4","1020","","俺の名は","オレノナワ"
"104110301","4","1030","","Caroline","キャロライン"
"104110302","4","1030","","地獄の番犬ケルベロス","ジゴクノバンケンケルベロス"
"104110401","4","1040","","箱入れ息子","ハコイレムスコ"
"104110402","4","1040","","「置いて帰ろうぜ!!」号","オイテカエロウゼ"
"104110501","4","1050","","箱立てポチョムキン","ハコダテポチョムキン"
"104110502","4","1050","","3回目にかける橋","サンカイメニカケルハシ"
"104220601","4","2060","","ニコニコウマウマパクパクポットン2号","ニコニコウマウマパクパクポットンニゴウ"
"104220602","4","2060","","Big Mistaken Wheels - 152η","ビッグミステイクンホイールズイチゴーニイータ"
"104220701","4","2070","","有美ちゃん","アルミチャン"
"104220702","4","2070","","アトリオンMK2","アトリオンエムケーツー"
"104220801","4","2080","B","どっこいしょ君","ドッコイショクン"
"104220802","4","2080","A","よいしょ君","ヨイショクン"
"104220901","4","2090","","ミツる","ミツル"
"104220902","4","2090","","Ja・ＪＡ","ジャジャ"
"104221001","4","2100","","おむにばす","オムニバス"
"104221002","4","2100","","master電波","マスターデンパ"
"104221101","4","2110","","MAAC ROBO","マークロボ"
"104221102","4","2110","","つむぞうスープレックス '91","ツムゾウスープレックスクウジュウイチ"
"104221201","4","2120","","R-91","アールキュウジュウイチ"
"104221202","4","2120","","JOHNNY君","ジョニークン"
"104331301","4","3130","","ドリッピーＭＫⅡ","ドリッピーマークツー"
"104331302","4","3130","","ダイエット","ダイエット"
"104331401","4","3140","","SRK-02","ヨミカタガワカリマセン"
"104331402","4","3140","","Tri-feelers","ヨミカタガワカリマセン"
"104331501","4","3150","","男田段ボール","ダンダダンボール"
"104331502","4","3150","","OSSY","オッシー"
"104331601","4","3160","","POTE","ポテ"
"104331602","4","3160","","SCスペシャル","エスシースペシャル"
"104331701","4","3170","","積ません蔵","ツマセンゾウ"
"104331702","4","3170","","ＨＥＲＯ２","ヒーローツー"
"104331801","4","3180","","Star dust shooter","スターダストシューター"
"104331802","4","3180","","テ-91　ブンブン丸","テキュウジュウイチブンブンマル"
"104331901","4","3190","","SE/30","エスイーサーティ"
"104331902","4","3190","","寮さん","リョウサン"
"104332001","4","3200","","江戸っ子品川丸","エドッコシナガワマル"
"104332002","4","3200","","保福一豪","ヨミカタガワカリマセン"
"104332101","4","3210","","FINAL PIKABO","ファイナルピカボー"
"104332102","4","3210","","Y-3MHz","ワイスリーメガヘルツ"
"104332301","4","3230","","Strange Family","ストレインジファミリー"
"104332302","4","3230","","しゃくとり君","シャクトリクン"
"104442401","4","4240","","サイクロンタワー","サイクロンタワー"
"104442402","4","4240","","SEA HAWK","シーホーク"
"104442501","4","4250","","ピーコック","ピーコック"
"104442502","4","4250","","カメレオン　２×４","カメレオンツーバイフォー"
"104442601","4","4260","","箱ばんまいけ","ハコバンマイケ"
"104442602","4","4260","","持ち上げ君","モチアゲクン"
"104442701","4","4270","","バタン・チュー","バタンチュー"
"104442702","4","4270","","ノッポさん","ノッポサン"
"104442801","4","4280","","ビートルマン","ビートルマン"
"104442802","4","4280","","楽多","ラクタ"
"104442901","4","4290","","カエルピョコピョコゲロゲロ丸Ⅲ号","カエルピョコピョコゲロゲロマルサンゴウ"
"104442902","4","4290","","Wide Bridgr α-3","ヨミカタガワカリマセン"
"104443001","4","4300","","すうぱあリフトくん","スウパアリフトクン"
"104443002","4","4300","","Λ-'91号","ラムダナインティーワンゴウ"
"104443101","4","4310","","じゃんだらりん","ジャンダラリン"
"104443102","4","4310","","ラズヴェル","ラズヴェル"
"104443201","4","4320","","アンタッチャブル","アンタッチャブル"
"104443202","4","4320","","SRCD-1","ヨミカタガワカリマセン"
"104443301","4","4330","","ろっこつみつみ","ロッコツミツミ"
"104443302","4","4330","","DANKU","ダンク"
"104553401","4","5340","","まんじ丸","マンジマル"
"104553402","4","5340","","ちーちゃん","チーチャン"
"104553501","4","5350","","M63XX","エムロクサンダブルエックス"
"104553502","4","5350","","ルパン25号","ルパンニジュウゴゴウ"
"104553601","4","5360","","クラベンコックテイル","クラベンコックテイル"
"104553602","4","5360","","快足メロンちゃん","カイソクメロンチャン"
"104553701","4","5370","","門塔無用","モンドウムヨウ"
"104553702","4","5370","","土木403","ドボクヨンマルサン"
"104553801","4","5380","","箱びます","ハコビマス"
"104553802","4","5380","","Super Ladder 1号","スーパーラダーイチゴウ"
"104553901","4","5390","","Bear Field Version II","ベアフィールドバージョンツー"
"104553902","4","5390","","ぶっとびハイブリッドふいふお号","ブットビハイブリッドフイフオゴウ"
"104554001","4","5400","","和歌の山","ワカノヤマ"
"104554002","4","5400","","和歌の海","ワカノウミ"
"104664101","4","6410","","スサノオ","スサノオ"
"104664102","4","6410","","ヤマトCG3","ヨミカタガワカリマセン"
"104664201","4","6420","","パタパラ３号","ヨミカタガワカリマセン"
"104664202","4","6420","","ゲッチ8","ヨミカタガワカリマセン"
"104664301","4","6430","","弥生の桃太郎","ヤヨイノモモタロウ"
"104664302","4","6430","","シス研特車号","シスケントクシャゴウ"
"104664401","4","6440","","ホッタ君1号","ホッタクンイチゴウ"
"104664402","4","6440","","わりゃジャンケン勝負じゃ号","ワリャジャンケンショウブジャゴウ"
"104664501","4","6450","","呉ーん","クレーン"
"104664502","4","6450","","押しの一徹、安芸の海","オシノイッテアキノウミ"
"104664601","4","6460","","白猫号","シロネコゴウ"
"104664602","4","6460","","早技攻太郎","ハヤワザコウタロウ"
"104664701","4","6470","","MY KEY号","マイキーゴウ"
"104664702","4","6470","","sutck","ストック"
"104664801","4","6480","","オグラキャップ","オグラキャップ"
"104664802","4","6480","","オロチ","オロチ"
"104774901","4","7490","","アマチ君3号","アマチクンサンゴウ"
"104774902","4","7490","","チャレンジャー","チャレンジャー"
"104775001","4","7500","","びるど君","ビルドクン"
"104775002","4","7500","","EXTERMINATE","エクスターミネイト"
"104775101","4","7510","","ROMIMA-II","ロミマツー"
"104775102","4","7510","","ＭＡＫ－Ⅰ","ヨミカタガワカリマセン"
"104775201","4","7520","","大漁船","タイリョウブネ"
"104775202","4","7520","","あかがね号","アカガネゴウ"
"104775301","4","7530","","バックドロップ号","バックドロップゴウ"
"104775302","4","7530","","つみつみＡＮＡＮ","ツミツミアナン"
"104775401","4","7540","","ホープ1","ヨミカタガワカリマセン"
"104775402","4","7540","","分離・合体・悪質ロボ","ヨミカタガワカリマセン"
"104885501","4","8550","","スタックロボDENSEI－1号","スタックロボデンセイイチゴウ"
"104885502","4","8550","","ダンプ号","ダンプゴウ"
"104885601","4","8560","","ノビノビ久留久留号","ノビノビクルクルゴウ"
"104885602","4","8560","","ノビノビコットン号","ノビノビコットンゴウ"
"104885701","4","8570","","スプレもん","スプレモン"
"104885702","4","8570","","バルーンファイター","バルーンファイター"
"104885801","4","8580","A","うっちゃり君","ウッチャリクン"
"104885802","4","8580","B","一発屋のテツヤ君","イッパツヤノテツヤクン"
"104885901","4","8590","","はこもてぃー","ハコモティー"
"104885902","4","8590","","ぶっとべ！大五郎号","ブットベダイゴロウゴウ"
"104886001","4","8600","","The Slider","ザスライダー"
"104886002","4","8600","","The Spirit of DENPA '91","ザスピリットオブデンパキュウジュウイチ"
"104886101","4","8610","A","ビッグガメ","ビッグガメ"
"104886102","4","8610","B","GAMEC91/B R2","ガメックキュウイチビーアールツー"
"104886201","4","8620","A","のっぽさん","ノッポサン"
"104886202","4","8620","B","アームでフェスティバル号","アームデフェスティバルゴウ"
"104886301","4","8630","A","PowerBomb 14","ヨミカタガワカリマセン"
"104886302","4","8630","B","重機動クレーン”のびるんです号”","ジュウキドウクレーンノビルンデスゴウ"
"104996501","4","9650","","BIMA-X1","ビマエックスワン"
"105110101","5","1010","B","春光台にそそり立つ","シュンコウダイニソソリタツ"
"105110102","5","1010","A","ANCoT16","アンコットシックスティーン"
"105110201","5","1020","","霧のぬさまい橋Ⅱ号","キリノヌサマイバシニゴウ"
"105110202","5","1020","","ばざぁる君","バザァルクン"
"105110301","5","1030","","明日へジャンプ","アシタヘジャンプ"
"105110302","5","1030","","ひとりでできるもん","ヒトリデデキルモン"
"105110401","5","1040","","俺がハンマーだ！！","オレガハンマーダ"
"105110402","5","1040","","夢の賭け橋","ユメノカケハシ"
"105110501","5","1050","","Σ200","シグマニヒャク"
"105110502","5","1050","","ぐらたん","グラタン"
"105220601","5","2060","","あみはる君","アミハルクン"
"105220602","5","2060","","南部玉五郎","ナンブタマゴロウ"
"105220701","5","2070","","TRYもん","トライモン"
"105220702","5","2070","","マンモスエスカルザウルス","マンモスエスカルザウルス"
"105220801","5","2080","A","ころころ君","コロコロクン"
"105220802","5","2080","B","すいすい君ゴールド","スイスイクンゴールド"
"105220901","5","2090","","Ab・e・lisk","オベリスク"
"105220902","5","2090","","社長の愛犬","シャチョウノアイケン"
"105221001","5","2100","","Long-Legs","ロングレッグス"
"105221002","5","2100","","King dom","キングダム"
"105221101","5","2110","","BASIC","ベーシック"
"105221102","5","2110","","ONE OR EIGHT","ワンオアエイト"
"105221201","5","2120","","mgh","エムジーエイチ"
"105221202","5","2120","","つり吉くん","ツリキチクン"
"105331301","5","3130","","鉄人10号","テツジンジュウゴウ"
"105331302","5","3130","","でんでん","デンデン"
"105331401","5","3140","","SRK-Ⅲ","エスアールケースリー"
"105331402","5","3140","","パッタンコロコロ号","パッタンコロコロゴウ"
"105331501","5","3150","","金メダルへジャンプ号","キンメダルヘジャンプゴウ"
"105331502","5","3150","","卍太郎","マンジタロウ"
"105331601","5","3160","","愛のかけ橋","アイノカケハシ"
"105331602","5","3160","","ヒフマジメ一徹","ヒフマジメイッテツ"
"105331701","5","3170","","アインシュタイン（一石）","アインシュタイン"
"105331702","5","3170","","プルルン号","プルルンゴウ"
"105331801","5","3180","","レジスタンス","レジスタンス"
"105331802","5","3180","","スターダストシューターⅡ","スターダストシューターツー"
"105331901","5","3190","","寮さんⅡ","リョウサンツー"
"105331902","5","3190","","通生号","ツウセイゴウ"
"105332001","5","3200","","綱渡一豪","ツナワタリイチゴウ"
"105332002","5","3200","","江戸っ子2代目品川丸","エドッコニダイメシナガワマル"
"105332101","5","3210","","シュー太郎","シュータロウ"
"105332102","5","3210","","EXCEED","イクスシード"
"105332301","5","3230","","Revolution Attacker","レヴォリューションアタッカー"
"105332302","5","3230","","ししおどし君","シシオドシクン"
"105442401","5","4240","","タワーブリッジ","タワーブリッジ"
"105442402","5","4240","","Scheißer","シャイサー"
"105442501","5","4250","","電・虫 ICT","ヨミカタガワカリマセン"
"105442502","5","4250","","Ant Lion","アントライオン"
"105442601","5","4260","","出玉勝負","デダマショウブ"
"105442602","5","4260","","いれんまいけ","イレンマイケ"
"105442701","5","4270","","EL CRIC MYTE号","エルクリックマイトゴウ"
"105442702","5","4270","","TATSUO号","タツオゴウ"
"105442801","5","4280","","楽多Ⅱ","ラクタツー"
"105442802","5","4280","","九頭竜","クズリュウ"
"105442901","5","4290","","帰ってきたウカイコッコピヨピヨ丸2号","カエッテキタウカイコッコピヨピヨマルニゴウ"
"105442902","5","4290","","流しそうめんアーム号","ナガシソウメンアームゴウ"
"105443001","5","4300","","Magic Hander","マジックハンダー"
"105443101","5","4310","","ろーりんぐびーとる","ローリングビートル"
"105443102","5","4310","","アンダーサーブ’９２","ヨミカタガワカリマセン"
"105443201","5","4320","","星ピューマ","ホシピューマ"
"105443202","5","4320","","ボール２コ２コゴロゴロGO号","ヨミカタガワカリマセン"
"105443301","5","4330","","パーフェクトシュータ","パーフェクトシュータ"
"105443302","5","4330","","だっくすきりんさん","ダックスキリンサン"
"105553401","5","5340","B","ハイ！ちゃった号","ハイチャッタゴウ"
"105553402","5","5340","A","ダンシングクレーン","ダンシングクレーン"
"105553501","5","5350","A","吉丈号","ヨシタケゴウ"
"105553502","5","5350","B","藍染5号","アイゾメゴゴウ"
"105553601","5","5360","B","しんいち","シンイチ"
"105553602","5","5360","A","はこ坊+タコ坊","ハコボウプラスタコボウ"
"105553701","5","5370","A","名ストライカー神","メイストライカージン"
"105553702","5","5370","B","命がけのスローインロボ","イノチガケノスローインロボ"
"105553801","5","5380","B","飛ばしマシーンDX","トバシマシーンデラックス"
"105553802","5","5380","A","OB Maker","オービーメーカー"
"105553901","5","5390","","運ぶゾウ！","ハコブゾウ"
"105553902","5","5390","","のびるんです","ノビルンデス"
"105554001","5","5400","B","和歌山オレンジブリッジ","ワカヤマオレンジブリッジ"
"105554002","5","5400","A","和歌山WINS","ワカヤマウィンズ"
"105664101","5","6410","","はじめくん","ハジメクン"
"105664102","5","6410","","バウンド君","バウンドクン"
"105664201","5","6420","","４×４シューター","フォーバイフォーシューター"
"105664202","5","6420","","ＭＶＰシューター","ヨミカタガワカリマセン"
"105664301","5","6430","","サプライズ号","サプライズゴウ"
"105664302","5","6430","","からくり太郎２","カラクリタロウツー"
"105664401","5","6440","","ハッタ君２号","ハッタクンニゴウ"
"105664402","5","6440","","哲ちゃん１号＋Ｊｒ","ヨミカタガワカリマセン"
"105664501","5","6450","","ワンツードン","ワンツードン"
"105664502","5","6450","","テクニシャン","テクニシャン"
"105664601","5","6460","","ジャイアントアーム","ジャイアントアーム"
"105664602","5","6460","","リボルバー532","リボルバーゴーサンニ"
"105664701","5","6470","","バタンＱ","バタンキュー"
"105664702","5","6470","","Otti","オッチ"
"105664801","5","6480","","ドラゴン","ドラゴン"
"105664802","5","6480","","首長竜","クビナガリュウ"
"105774901","5","7490","","ぶっかけひやＩＩ号","ブッカケヒヤニゴウ"
"105774902","5","7490","","ころころスットンすもうでポン号","コロコロスットンスモウデポンゴウ"
"105775001","5","7500","","Dreieck","ドライエック"
"105775002","5","7500","","弓削大漁号","ユゲタイリョウゴウ"
"105775101","5","7510","","MMMSUTⅡ","スリーエムサットツー"
"105775102","5","7510","","トライアンフ・ブリッジ","トライアンフブリッジ"
"105775201","5","7520","","ホールインワン小門号","ホールインワンコカドゴウ"
"105775202","5","7520","","チャレンジアゲイン大量号","チャレンジアゲインタイリョウゴウ"
"105775301","5","7530","","Flying Catcher","フライングキャッチャー"
"105775302","5","7530","","クレクレ吾郎","クレクレゴロウ"
"105775401","5","7540","","ホープＩＩ","ホープツー"
"105775402","5","7540","","IGOSSO","イゴッソ"
"105885501","5","8550","","DON－RYU－8号","ドンリュウハチゴウ"
"105885502","5","8550","","フォークリフト","フォークリフト"
"105885601","5","8560","","ほいっとストンプリッジ号","ホイットストンブリッジゴウ"
"105885602","5","8560","","久留久留ペッタン号","クルクルペッタンゴウ"
"105885701","5","8570","","RC-Hummer","ヨミカタガワカリマセン"
"105885702","5","8570","","BIG-BANG","ヨミカタガワカリマセン"
"105885801","5","8580","A","おむすびコロリン号","オムスビコロリンゴウ"
"105885802","5","8580","B","テンポイントシューター","テンポイントシューター"
"105885901","5","8590","","ビッグシューター","ビッグシューター"
"105885902","5","8590","","破れ逆さアンブレラ号","ヤブレサカサアンブレラゴウ"
"105886001","5","8600","","ドラム健","ドラムスコ"
"105886002","5","8600","","The Spirit of DENPA '92","ザスピリットオブデンパキュウジュウニ"
"105886101","5","8610","A","アームデトルゾエビネッガー号","アームデトルゾエビネッガーゴウ"
"105886102","5","8610","B","八代男児","ヤッチロダンジ"
"105886201","5","8620","A","ロジャーアーム号","ロジャーアームゴウ"
"105886202","5","8620","B","ウエルネス３号","ウエルネスサンゴウ"
"105886301","5","8630","A","桜島桟橋号","サクラジマサンバシゴウ"
"105886302","5","8630","B","A-Quick","エークイック"
"105996501","5","9650","","チャラカ XH","チャラカエックスエイチ"
"106110101","6","1010","B","かっとびチュー太","カットビチュータ"
"106110102","6","1010","A","大雪山ジムカデ号","タイセツザンジムカデゴウ"
"106110201","6","1020","","myダーVer 1.3","マイダーバージョンイッテンサン"
"106110202","6","1020","","借りた猫の手","カリタネコノテ"
"106110301","6","1030","","もみあげ","モミアゲ"
"106110302","6","1030","","あせっかき","アセッカキ"
"106110401","6","1040","","ライトニング・ロボダッチ","ライトニングロボダッチ"
"106110402","6","1040","","STEP BY STEP","ステップバイステップ"
"106110501","6","1050","","くわがたの散歩と爆弾Gさん","クワガタノサンポトバクダンジーサン"
"106110502","6","1050","","Mr.翼張","ミスターヨクバリ"
"106220601","6","2060","","スレイプニル","スレイプニル"
"106220602","6","2060","","南部ゲンゴロウ","ナンブゲンゴロウ"
"106220701","6","2070","","AMIKABE","アミカベ"
"106220702","6","2070","","MEGA・BULU","メガブル"
"106220801","6","2080","","ROLLYさん","ロリーサン"
"106220802","6","2080","","SB Jr君","エスビージュニアクン"
"106220901","6","2090","","新塔まえだおしスペシャル","シントウマエダオシスペシャル"
"106220902","6","2090","","折鶴","オリヅル"
"106221001","6","2100","","ワーカーアンツ","ワーカーアンツ"
"106221002","6","2100","","プッシュポン","プッシュポン"
"106221101","6","2110","","Pちゃん1号","ピーチャンイチゴウ"
"106221102","6","2110","","未完成陣","ミカンセイジン"
"106221201","6","2120","","S・T・K・M","ヨミカタガワカリマセン"
"106221202","6","2120","","グランドスラム","グランドスラム"
"106331301","6","3130","","そいがー","ソイガー"
"106331302","6","3130","","THE極み","ザキワミ"
"106331401","6","3140","","TURNING ROBOT","ターニングロボット"
"106331402","6","3140","","階段なんて誰が越えるか！'93号","カイダンナンテダレガコエルカキュウジュウサンゴウ"
"106331501","6","3150","","OSSY2","オッシーツー"
"106331502","6","3150","","アミはるお","アミハルオ"
"106331601","6","3160","","GCT-540","ジーシーティーゴーヨンマル"
"106331602","6","3160","","τ-M・Four","タウエムフォー"
"106331701","6","3170","","TANACK","タナック"
"106331702","6","3170","","OYAMA PHOENIX","オヤマフェニックス"
"106331801","6","3180","","ガンバレトニー","ガンバレトニー"
"106331802","6","3180","","改ひのみやぐら3号","カイヒノミヤグラサンゴウ"
"106331901","6","3190","","ぷるぷるぷーⅡ","プルプルプーツー"
"106331902","6","3190","","あ゜い゛","アニマルイニテンテン"
"106332001","6","3200","","Active Revolution","アクティブレヴォリューション"
"106332002","6","3200","","韋駄天君","イダテンクン"
"106332101","6","3210","","スラスラアスタ","スラスラアスタ"
"106332102","6","3210","","スクリプト","スクリプト"
"106332301","6","3230","","MORO-Q","モロキュー"
"106332302","6","3230","","ステップ・ビートル","ステップビートル"
"106442401","6","4240","","そこびき丸","ソコビキマル"
"106442402","6","4240","","ぬりかべ君","ヌリカベクン"
"106442501","6","4250","","Spring Shaper","スプリングシェーパー"
"106442502","6","4250","","リフト君","リフトクン"
"106442601","6","4260","","ロボット野郎ジョン＆パンチ","ロボットヤロウジョンアンドパンチ"
"106442602","6","4260","","ブル道山","ブルドウザン"
"106442701","6","4270","","のぼりマッシー・おりマッシー","ノボリマッシーオリマッシー"
"106442702","6","4270","","百万石ファイター","ヒャクマンゴクファイター"
"106442801","6","4280","","ルーキーデルタ","ルーキーデルタ"
"106442802","6","4280","","ちかっぺ福井号","チカッペフクイゴウ"
"106442901","6","4290","","ＴＨＥ　Ｅ－ＭＡＮ５","ヨミカタガワカリマセン"
"106442902","6","4290","","逆ちりとりモンスター","ヨミカタガワカリマセン"
"106443001","6","4300","","Undecided","アンディサイデッド"
"106443002","6","4300","","シオマネキ君","シオマネキクン"
"106443101","6","4310","","ブリッヂランナー","ブリッヂランナー"
"106443102","6","4310","","見かけ倒し","ミカケダオシ"
"106443201","6","4320","","お～いシロークン","オーイシロークン"
"106443202","6","4320","","エスター","エスター"
"106443301","6","4330","","ストレートライナー","ストレートライナー"
"106443302","6","4330","","ハンドスプリングスロー","ハンドスプリングスロー"
"106553401","6","5340","B","パワー・スクラム号","パワースクラムゴウ"
"106553402","6","5340","A","舞っちゃった号","マッチャッタゴウ"
"106553501","6","5350","A","エースやすかず号","エースヤスカズゴウ"
"106553502","6","5350","B","はりぼてダンディズム","ハリボテダンディズム"
"106553601","6","5360","B","コロコロコロコロ","コロコロコロコロ"
"106553602","6","5360","A","ナイスキック","ナイスキック"
"106553701","6","5370","A","孔雀","クジャク"
"106553702","6","5370","B","CONTEC","コンテック"
"106553801","6","5380","A","Third Challenger","サードチャレンジャー"
"106553802","6","5380","B","のぼりマシーン","ノボリマシーン"
"106553901","6","5390","","韋駄天","イダテン"
"106553902","6","5390","","鬼ヶ城のオニちゃん","オニガシロノオニチャン"
"106554001","6","5400","A","和歌山キングボンビー","ワカヤマキングボンビー"
"106554002","6","5400","B","シーソー君","シーソークン"
"106664101","6","6410","","おろちダンサーズ","オロチダンサーズ"
"106664102","6","6410","","チャカタンク","チャカタンク"
"106664201","6","6420","","大風呂敷を広げる号","オオブロシキヲヒロゲルゴウ"
"106664202","6","6420","","アザレア","アザレア"
"106664301","6","6430","","ＫＡＺ号","カズゴウ"
"106664302","6","6430","","しゃくとりトライアングル号","シャクトリトライアングルゴウ"
"106664401","6","6440","","クボ君１号","クボクンイチゴウ"
"106664402","6","6440","","ビジーでイージーライダー号","ビジーデイージーライダーゴウ"
"106664501","6","6450","","テクニシャン II","テクニシャンツー"
"106664502","6","6450","","働く自動車消防車","ハタラクジドウシャショウボウシャ"
"106664601","6","6460","","コロコロ君GO号","コロコロクンゴーゴー"
"106664602","6","6460","","ジャンパ26","ジャンパニジュウロク"
"106664701","6","6470","","骨骨ロック","ホネホネロック"
